Denominazione,Tipologia,Regione,Provincia,Comune,Esito,Data Aggiornamento,noindex,Link
ISTITUTO COMPRENSIVO - I.C. GIULIANOVA 2,Istituti di Istruzione Statale di Ogni Ordine e Grado,Abruzzo,Teramo,Giulianova,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/TEIC84400L/4
Comune di Montefino,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Montefino,positivo,17/03/2019 02:05:14,x,https://comunedimontefino.accessocivico.it/amministrazione-trasparente
Comune di Nereto,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Nereto,positivo,17/03/2019 02:05:14,x,https://comune.nereto.accessopa.it/amministrazione-trasparente
Comune di Penna Sant'Andrea,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Penna Sant'Andrea,positivo,17/03/2019 02:05:14,x,http://comune.psa.accessocivico.it/
Comune di Sant' Egidio alla Vibrata,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Sant'Egidio alla Vibrata,positivo,17/03/2019 02:05:14,x,https://comunedisantegidioallavibrata.accessocivico.it/amministrazione-trasparente
Comune di Sant'Omero,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Sant'Omero,positivo,17/03/2019 02:05:14,x,https://comune.santomero.accessocivico.it/amministrazione-trasparente
Azienda Sanitaria Locale N. 4 di Teramo,Aziende Sanitarie Locali,Abruzzo,Teramo,Teramo,positivo,17/03/2019 02:05:14,x,http://aslteramo.portaletrasparenza.net
Ente d'Ambito Territoriale Ottimale numero 5 Teramano,Enti di Regolazione dei Servizi Idrici e o dei Rifiuti,Abruzzo,Teramo,Teramo,positivo,17/03/2019 02:05:14,x,http://ato5teramo.accessocivico.it/?q=amministrazione-trasparente
Comune di Tortoreto,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Tortoreto,positivo,17/03/2019 02:05:14,x,https://comuneditortoreto.accessocivico.it/amministrazione-trasparente
Comune di Valle Castellana,Comuni e loro Consorzi e Associazioni,Abruzzo,Teramo,Valle Castellana,positivo,17/03/2019 02:05:14,x,http://comune.vallecastellana.accessocivico.it/
"Camera di Commercio, Industria, Artigianato e Agricoltura di Matera","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Basilicata,Matera,Matera,positivo,17/03/2019 02:05:14,x,http://www.mt.camcom.it/P42A0C0S889/Amministrazione-trasparente.htm
Comune di Pisticci,Comuni e loro Consorzi e Associazioni,Basilicata,Matera,Pisticci,positivo,17/03/2019 02:05:14,x,http://www.comune.pisticci.mt.it/cms/amministrazione-trasparente/cat_view/100-amministrazione-trasparente.html
Comune di Avigliano,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Avigliano,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=292720&siteid=103778
Comune di Genzano di Lucania,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Genzano di Lucania,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=499357&siteid=394066
Ente Parco Nazionale dell'Appennino Lucano Val D'Agri Lagonegrese,"Parchi Nazionali, Consorzi e Enti Gestori di Parchi e Aree Naturali Protette",Basilicata,Potenza,Marsico Nuovo,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/parcoappenninolucano-trasparenza
Comune di Oppido Lucano,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Oppido Lucano,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=303294&siteid=302880
Comune di Palazzo San Gervasio,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Palazzo San Gervasio,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=471832&siteid=455624
Agenzia Regionale per la Protezione dell'Ambiente della Basilicata,"Agenzie ed Enti Regionali per la Formazione, la Ricerca e l'Ambiente",Basilicata,Potenza,Potenza,positivo,17/03/2019 02:05:14,x,http://www.arpab.it/amm_trasp/indice.asp
Comune di Potenza,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Potenza,positivo,17/03/2019 02:05:14,x,http://www.rete.potenza.it/trasparenza
Provincia di Potenza,Province e loro Consorzi e Associazioni,Basilicata,Potenza,Potenza,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=389116&siteid=330018
Comune di Tito,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Tito,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=171683&siteid=171682
Comune di Viggiano,Comuni e loro Consorzi e Associazioni,Basilicata,Potenza,Viggiano,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=311354&siteid=119054
Fondazione Calabria Film Commission,Altri Enti Locali,Calabria,Catanzaro,Catanzaro,positivo,17/03/2019 02:05:14,x,http://trasparenza.calabriafilmcommission.it
ISTITUTO COMPRENSIVO - IC CATANZARO MANZONI CZ NORD,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Catanzaro,Catanzaro,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CZIC855006/3
ISTITUTO COMPRENSIVO - I.C. 'PERRI-PITAGORA' L.T.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Catanzaro,Lamezia Terme,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CZIC87400G/4/0/0/show
ISTITUTO COMPRENSIVO - I.C. FUSCALDO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Cosenza,Fuscaldo,positivo,17/03/2019 02:05:14,x,http://www.icfuscaldo.edu.it/trasparenza/amministrazione-trasparente
Istituto Comprensivo Filottete Ciro' Marina,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Ciro` Marina,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC82300N/3
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO STATALE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Cotronei,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC81500P/4#new_tab
ISTITUTO COMPRENSIVO - 'A. ROSMINI' KR,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Crotone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC813003/3
ISTITUTO COMPRENSIVO - I.C. ALCMEONE CROTONE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Crotone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC81100B/3/0/0/show
Istituto di Istruzione Superiore S. Pertini E. Santoni Crotone,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Crotone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIS00900G/6/0/0/show
Istruzione Superiore Mario Ciliberto,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Crotone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRTH020009/4
ISTITUTO COMPRENSIVO - I.C. 'G. MARCONI' PETILIA POL.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Petilia Policastro,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/kric81600e/6/0/0/show
ISTITUTO COMPRENSIVO - I.O.' D.BORRELLI ' S. SEVERINA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Santa Severina,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC825009/14
Istituto Comprensivo I.C. Verzino,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Crotone,Verzino,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/KRIC81700A/5
Comune di Condofuri,Comuni e loro Consorzi e Associazioni,Calabria,Reggio-Calabria,Condofuri,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/Condofuri/ammTrasparente.html
Comune di Feroleto della Chiesa,Comuni e loro Consorzi e Associazioni,Calabria,Reggio-Calabria,Feroleto della Chiesa,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/FeroletoDC/ammTrasparente.html
Comune di Marina di Gioiosa Ionica,Comuni e loro Consorzi e Associazioni,Calabria,Reggio-Calabria,Marina di Gioiosa Ionica,positivo,17/03/2019 02:05:14,x,http://156.54.128.63/marinadigioiosa/po/il-comune-informa.php?x=661b4672a509e51e9a01f53a654006f1
ISTITUTO COMPRENSIVO - CARDUCCI - V. DA FELTRE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,Reggio-Calabria,Reggio Calabria,positivo,17/03/2019 02:05:14,x,http://www.iccarduccidafeltre.edu.it/wp1/index.php/elenco-sezioni/
Ordine dei Dottori Commercialisti e degli Esperti Contabili di Reggio Calabria,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Calabria,Reggio-Calabria,Reggio Calabria,positivo,17/03/2019 02:05:14,x,http://www.odcec-rc.it/cgi/intranet.pl?_cgifunction=includi_pages&pagina=amministrazionetrasparente
Comune di Rizziconi,Comuni e loro Consorzi e Associazioni,Calabria,Reggio-Calabria,Rizziconi,positivo,17/03/2019 02:05:14,x,https://www.comune.rizziconi.rc.it/comune/Servizi-on-line/Amministrazione-Trasparente.html
Comune di Taurianova,Comuni e loro Consorzi e Associazioni,Calabria,Reggio-Calabria,Taurianova,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Taurianova/ammTrasparente.html
Comune di Cassano Irpino,Comuni e loro Consorzi e Associazioni,Campania,Avellino,Cassano Irpino,positivo,17/03/2019 02:05:14,x,http://www.halleyweb.com/cmtercerv/mc/mc_p_ricerca.php
"Camera di Commercio, Industria, Artigianato e Agricoltura di Benevento","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Campania,Benevento,Benevento,positivo,17/03/2019 02:05:14,x,http://www.bn.camcom.it/P42A0C0S158/Amministrazione-trasparente.htm
Ambiente Reale Azienda Speciale del Comune di Boscoreale,Gestori di Pubblici Servizi,Campania,Napoli,Boscoreale,positivo,17/03/2019 02:05:14,x,http://www.ambientereale.it/?p=389
Comune di Brusciano,Comuni e loro Consorzi e Associazioni,Campania,Napoli,Brusciano,positivo,17/03/2019 02:05:14,x,http://brusciano.istituzionetrasparente.it/browse.php?fFolderId=230
ISTITUTO SECONDARIO DI I GRADO - BONITO-COSENZA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Napoli,Castellammare di Stabia,positivo,17/03/2019 02:05:14,x,http://hubmiur.pubblica.istruzione.it/web/ministero/amministrazione-trasparente
ISTITUTO SECONDARIO DI I GRADO - GIOVANNI SCOTTI ISCHIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Napoli,Ischia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/NAMM31400E/7#new_tab
ISTITUTO TECNICO COMMERCIALE - I.T.C.G. M. ROSSI DORIA MARIGLIANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Napoli,Marigliano,positivo,17/03/2019 02:05:14,x,http://www.ismanliorossidoria.it/mrossidoria/?page_id=676
Collegio Provinciale Delle Ostetriche di Napoli,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Campania,Napoli,Napoli,positivo,17/03/2019 02:05:14,x,https://www.ordineostetrichenapoli.it/amministrazione-trasparente/
Ente Idrico Campano,Enti di Regolazione dei Servizi Idrici e o dei Rifiuti,Campania,Napoli,Napoli,positivo,17/03/2019 02:05:14,x,http://www.enteidricocampano.it/trasparenza.htm
Comune di Portici,Comuni e loro Consorzi e Associazioni,Campania,Napoli,Portici,positivo,17/03/2019 02:05:14,x,https://www.comune.portici.na.it/2015-12-16-14-31-27
ISTITUTO COMPRENSIVO - VOLLA - I.C. SERAO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Napoli,San Giorgio a Cremano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/NAIC85700R/4/0/0/show
Comune di Camerota,Comuni e loro Consorzi e Associazioni,Campania,Salerno,Camerota,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=347379&siteid=105689
Comune di Monte San Giacomo,Comuni e loro Consorzi e Associazioni,Campania,Salerno,Monte San Giacomo,positivo,17/03/2019 02:05:14,x,http://trasparenza.cloud.publisys.it/atc/detail.jsp?otype=1160&id=358666&siteid=341835
Asis Salernitana Rete Ed Impianti S.P.A,Gestori di Pubblici Servizi,Campania,Salerno,Salerno,positivo,17/03/2019 02:05:14,x,https://www.asisnet.it/amministrazione_trasparente/
"Camera di Commercio, Industria, Artigianato e Agricoltura di Salerno","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Campania,Salerno,Salerno,positivo,17/03/2019 02:05:14,x,http://www.sa.camcom.it/P42A0C0S362/Amministrazione-trasparente.htm
Conservatorio di Salerno,"Istituzioni per l'Alta Formazione Artistica, Musicale e Coreutica - AFAM",Campania,Salerno,Salerno,positivo,17/03/2019 02:05:14,x,https://consalerno.accessocivico.it/amministrazione-trasparente
Istituto Comprensivo Vallo della Lucania - Novi Velia,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Salerno,Vallo Della Lucania,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/SAIC8BL004/4
DIREZIONE DIDATTICA - VALLO DELLA LUCANIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,Salerno,Vallo della Lucania,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/SAEE178007/7
Apt Servizi Srl,Societa` in Conto Economico Consolidato,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,https://trasparenza.aptservizi.com
ISTITUTO COMPRENSIVO - I.C. N.1 VIA DE CAROLIS,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC808009/3
ISTITUTO COMPRENSIVO - I.C. N.5 VIA A.DI VINCENZO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC816008/3
ISTITUTO COMPRENSIVO - IC N.15 VIA LOMBARDI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC87200L/3#new_tab
LICEO CLASSICO - LICEO LUIGI GALVANI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,http://www.liceogalvani.it/amministrazione_trasparente.php
LICEO SCIENTIFICO - LICEO A. B. SABIN,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Bologna,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOPS04000P/3
Azienda USL Imola,Aziende Sanitarie Locali,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,http://www.ausl.imola.bo.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/3317
Con.Ami Consorzio Azienda Multiservizi Intercomunale,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,http://trasparenza.con.ami.it/
ISTITUTO COMPRENSIVO - I.C. N.4 VIA GUICCIARDINI-IMOLA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC846004/3/0/0/show#new_tab
ISTITUTO COMPRENSIVO - I.C. N.5 VIA PIRANDELLO - IMOLA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC84200R/3#new_tab
ISTITUTO COMPRENSIVO - I.C. N.6 VIA VILLA CLELIA-IMOLA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC84700X/3/0/0/show
Istituto Comprensivo n. 2 - Imola,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Imola,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC84300L/3#new_tab
ISTITUTO COMPRENSIVO - I.C. DI MARZABOTTO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Marzabotto,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC839001/3#new_tab
Comune di Monte San Pietro,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Bologna,Monte San Pietro,positivo,17/03/2019 02:05:14,x,https://www.comune.montesanpietro.bo.it/index.php/amministrazione-trasparente
ISTITUTO COMPRENSIVO - I.C. DI PIANORO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Pianoro,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC83000E/10#new_tab
ISTITUTO COMPRENSIVO - I.C. DI SAN GIORGIO DI PIANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,San Giorgio di Piano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC83400T/3
ISTITUTO COMPRENSIVO 1 DECIMA-PERSICETO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,San Giovanni in Persiceto,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC870001/3#new_tab
ISTITUTO COMPRENSIVO - I.C. DI SAN PIETRO IN CASALE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,San Pietro in Casale,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC80500T/3#new_tab
ISTITUTO COMPRENSIVO - I.C. BAZZANO - MONTEVEGLIO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Valsamoggia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC86300T/3#new_tab
ISTITUTO COMPRENSIVO - I.C. DI CASTELLO DI SERRAVALLE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Valsamoggia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC810009/3
ISTITUTO COMPRENSIVO - I.C. DI CRESPELLANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Valsamoggia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC862002/3#new_tab
ISTITUTO COMPRENSIVO - I.C. DI ZOLA PREDOSA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Bologna,Zola Predosa,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BOIC86400N/7#new_tab
Istituto di Istruzione Superiore F.Lli Taddia,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Ferrara,Cento,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FEIS01400G/3
ISTITUTO COMPRENSIVO - I.C. 'C.GOVONI' - FERRARA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Ferrara,Ferrara,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FEIC81100X/3
LICEO CLASSICO - LICEO GINNASIO 'L.ARIOSTO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Ferrara,Ferrara,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FEPC020005/7
Comune di Fiscaglia,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Ferrara,Fiscaglia,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/Fiscaglia/ammTrasparente.html
ISTITUTO COMPRENSIVO - I.C. OSTELLATO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Ferrara,Ostellato,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FEIC81400b/4/0/0/show
ISTITUTO SECONDARIO DI I GRADO - DANTE ARFELLI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Forli-Cesena,Cesenatico,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FOMM08900A/4#new_tab
Azienda Servizi alla Persona del Forlivese,Aziende Pubbliche di Servizi alla Persona,Emilia Romagna,Forli-Cesena,Predappio,positivo,17/03/2019 02:05:14,x,http://www.aspforlivese.it/index.php?option=com_content&view=article&id=182&Itemid=87
Consiglio Notarile di Modena,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Emilia Romagna,Modena,Modena,positivo,17/03/2019 02:05:14,x,http://www.consiglionotarilemodena.it/amministrazione_trasparente.xhtml
